fiscal_year_end,fiscal_year,nopat,invested_capital,roic,incremental_roic,equity,roe
2015-12-31,2015,1330364750.0,10417420000.0,,,8388831000.0,
2016-12-31,2016,1409073900.0,13705896000.0,0.13526131230189434,,9820481000.0,0.17545877369564364
2017-12-31,2017,2121770000.0,15100100000.0,0.1548070990761932,0.2167253463306407,10676200000.0,0.21572263110126683
2018-12-31,2018,2520505000.0,16051800000.0,0.16691975549830795,0.2859947324781739,11641000000.0,0.24274554616811225
2019-12-31,2019,2372180000.0,18035100000.0,0.14778280317472184,-0.15585268466953872,12592200000.0,0.22268705437677175
2020-12-31,2020,3443775000.0,19840100000.0,0.19094848378994295,0.5403090808248878,13865400000.0,0.28221438668382015
2021-12-31,2021,5737585000.0,21162900000.0,0.28919133472109515,1.2708088642659279,10140600000.0,0.4243079896721335
2022-12-31,2022,5525595000.0,26466900000.0,0.2610981954269027,-0.16025854248563653,8810800000.0,0.554622014476461
2023-12-31,2023,7685955000.0,30605500000.0,0.290398762227537,0.4073076923076923,13452400000.0,0.8897035456485223
2024-12-31,2024,7669210000.0,32353300000.0,0.2505827383966934,-0.0040460542212342335,18476800000.0,0.5628438048229312
