wacc_rate,0.015,0.02,0.025,0.03,0.035
0.07,527.7918490093273,562.0307824234733,603.8783677074293,656.1878493123745,723.4428970901613
0.075,482.6300868614917,509.9901315404072,542.8221851551058,582.9502506841817,633.1103325955268
0.08,444.5076177093703,466.7114794289446,492.952406915714,524.4415198998373,562.9282135470992
0.085,411.91264683703525,430.1695822880168,451.4693403141619,476.64178161778796,506.84871118213925
0.0895,386.3808539079092,401.8376946347975,419.69094477670717,440.54474116095463,465.22492220286216
0.095,359.1484399870784,371.8960449740337,386.464736387697,403.2747649419239,422.8864649218553
0.1,337.51241053263607,348.308434530731,360.5439283952386,374.5273499546757,390.6620671386417
0.105,318.3343727544215,327.547031472074,337.91127252943306,349.6574123944399,363.08157224016213
0.11,301.22425448217246,309.13894607421895,317.98477785356494,327.9363386053292,339.2147741239953
