fiscal_year_end,fiscal_year,gross_margin,operating_margin,net_margin,revenue_growth,capex_to_revenue,rd_to_revenue,sga_to_revenue,depreciation_to_revenue
2015-12-31,2015,0.46056486212449554,0.2489329807749657,0.22062848167955626,,0.0591296049623253,,0.05498829002564663,0.04721906996162946
2016-12-31,2016,0.45451382525345085,0.2411214382336257,0.2140905586827828,0.09347700749517873,0.04601213073264389,,0.05450975258541694,0.05191604485752935
2017-12-31,2017,0.4447990003012485,0.2785098240485568,0.23636850502638715,0.3036464924146558,0.03781226639293963,0.14054916487219254,0.04648152900353688,0.046581945172771595
2018-12-31,2018,0.45953947368421055,0.2709521198830409,0.23680555555555555,0.22106061789416143,0.052448830409356724,0.1439967105263158,0.0445906432748538,0.03862390350877193
2019-12-31,2019,0.44668358714043993,0.2361082910321489,0.21931472081218273,0.08004385964912286,0.06485617597292724,0.16653976311336718,0.04403553299492386,0.037944162436548225
2020-12-31,2020,0.4862610437457524,0.28983796544693635,0.25422613298994884,0.18261421319796955,0.06881997353077941,0.15744178559931324,0.03898129269950281,0.03511106341882176
2021-12-31,2021,0.5270538928590618,0.36269410563645155,0.3161141260544839,0.33140179561469396,0.04839610982752136,0.13685454838536348,0.03898769544892805,0.025307613776798667
2022-12-31,2022,0.5053557765876052,0.3070220181926379,0.26562573795422556,0.137682016012036,0.06053822248670502,0.15365978066819688,0.044673977726770384,0.027562885507287447
2023-12-31,2023,0.5129488179690477,0.3281129234174574,0.28444944391022736,0.30156233765007046,0.07821906126966272,0.14444182375673567,0.04039407079485458,0.026844712157773464
2024-12-31,2024,0.512757006535069,0.31923829472559434,0.2678989063401137,0.02556017199775029,0.07314182196448347,0.15227382894182834,0.04124488286764628,0.03250197255058752
